Product title,Product rating,Reviews count,product offers,Buy link
"Apple iPhone 12 (Blue, 128 GB)",4.7 out of 5,"1,289 Ratings & 116 Reviews","₹84,900",https://www.flipkart.com/apple-iphone-12-blue-128-gb/p/itm02853ae92e90a?pid=MOBFWBYZKPTZF9VG&lid=LSTMOBFWBYZKPTZF9VG6GMIFT&marketplace=FLIPKART&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=933bf878-9f6c-41c4-a989-651a38b53bdd.MOBFWBYZKPTZF9VG.SEARCH&ssid=cqvpwdvozk0000001612245750153&qH=7b7504afcaf2e1ea
"Apple iPhone 12 (Black, 128 GB)",4.7 out of 5,"1,289 Ratings & 116 Reviews","₹84,900",https://www.flipkart.com/apple-iphone-12-black-128-gb/p/itmf1f0a58f1ecd7?pid=MOBFWBYZK3HACR72&lid=LSTMOBFWBYZK3HACR72SELGT5&marketplace=FLIPKART&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=933bf878-9f6c-41c4-a989-651a38b53bdd.MOBFWBYZK3HACR72.SEARCH&ssid=cqvpwdvozk0000001612245750153&qH=7b7504afcaf2e1ea
"Apple iPhone 12 (White, 256 GB)",4.7 out of 5,"1,289 Ratings & 116 Reviews","₹94,900",https://www.flipkart.com/apple-iphone-12-white-256-gb/p/itmcfbcb621e6326?pid=MOBFWBYZMNGZVMJE&lid=LSTMOBFWBYZMNGZVMJEQYPFS1&marketplace=FLIPKART&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=933bf878-9f6c-41c4-a989-651a38b53bdd.MOBFWBYZMNGZVMJE.SEARCH&ssid=cqvpwdvozk0000001612245750153&qH=7b7504afcaf2e1ea
"Apple iPhone 12 (White, 128 GB)",4.7 out of 5,"1,289 Ratings & 116 Reviews","₹84,900",https://www.flipkart.com/apple-iphone-12-white-128-gb/p/itm95393f4c6cc59?pid=MOBFWBYZBTZFGJF9&lid=LSTMOBFWBYZBTZFGJF9K5AZO1&marketplace=FLIPKART&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=933bf878-9f6c-41c4-a989-651a38b53bdd.MOBFWBYZBTZFGJF9.SEARCH&ssid=cqvpwdvozk0000001612245750153&qH=7b7504afcaf2e1ea
"Apple iPhone 12 (Green, 256 GB)",4.7 out of 5,"1,289 Ratings & 116 Reviews","₹94,900",https://www.flipkart.com/apple-iphone-12-green-256-gb/p/itm6d126e7980774?pid=MOBFWBYZZPFJYYEY&lid=LSTMOBFWBYZZPFJYYEYIUA7H8&marketplace=FLIPKART&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=933bf878-9f6c-41c4-a989-651a38b53bdd.MOBFWBYZZPFJYYEY.SEARCH&ssid=cqvpwdvozk0000001612245750153&qH=7b7504afcaf2e1ea
"Apple iPhone XR (Black, 64 GB) (Includes EarPods, Power Adapter)",4.6 out of 5,"71,298 Ratings & 6,100 Reviews","₹43,999₹47,9008% off",https://www.flipkart.com/apple-iphone-xr-black-64-gb-includes-earpods-power-adapter/p/itmf9z7zxu4uqyz2?pid=MOBF9Z7ZPHGV4GNH&lid=LSTMOBF9Z7ZPHGV4GNH9IFADQ&marketplace=FLIPKART&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=933bf878-9f6c-41c4-a989-651a38b53bdd.MOBF9Z7ZPHGV4GNH.SEARCH&ssid=cqvpwdvozk0000001612245750153&qH=7b7504afcaf2e1ea
"Apple iPhone 12 (Blue, 256 GB)",4.7 out of 5,"1,289 Ratings & 116 Reviews","₹94,900",https://www.flipkart.com/apple-iphone-12-blue-256-gb/p/itm3be487cd1dea5?pid=MOBFWBYZKYYZUANT&lid=LSTMOBFWBYZKYYZUANTU9JOHX&marketplace=FLIPKART&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=933bf878-9f6c-41c4-a989-651a38b53bdd.MOBFWBYZKYYZUANT.SEARCH&ssid=cqvpwdvozk0000001612245750153&qH=7b7504afcaf2e1ea
"Apple iPhone 12 (Black, 256 GB)",4.7 out of 5,"1,289 Ratings & 116 Reviews","₹94,900",https://www.flipkart.com/apple-iphone-12-black-256-gb/p/itm68421fa1c1121?pid=MOBFWBYZ7CR9FRHZ&lid=LSTMOBFWBYZ7CR9FRHZFXKLTD&marketplace=FLIPKART&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=933bf878-9f6c-41c4-a989-651a38b53bdd.MOBFWBYZ7CR9FRHZ.SEARCH&ssid=cqvpwdvozk0000001612245750153&qH=7b7504afcaf2e1ea
"Apple iPhone 12 (Red, 256 GB)",4.7 out of 5,"1,289 Ratings & 116 Reviews","₹94,900",https://www.flipkart.com/apple-iphone-12-red-256-gb/p/itm16f42310fe29a?pid=MOBFWBYZEBH6SAFP&lid=LSTMOBFWBYZEBH6SAFPS13XFR&marketplace=FLIPKART&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=933bf878-9f6c-41c4-a989-651a38b53bdd.MOBFWBYZEBH6SAFP.SEARCH&ssid=cqvpwdvozk0000001612245750153&qH=7b7504afcaf2e1ea
"Apple iPhone 12 Mini (Blue, 64 GB)",4.5 out of 5,475 Ratings & 40 Reviews,"₹69,900",https://www.flipkart.com/apple-iphone-12-mini-blue-64-gb/p/itm2883104474448?pid=MOBFWBYZC6UYGR2R&lid=LSTMOBFWBYZC6UYGR2RMNRM7G&marketplace=FLIPKART&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=933bf878-9f6c-41c4-a989-651a38b53bdd.MOBFWBYZC6UYGR2R.SEARCH&ssid=cqvpwdvozk0000001612245750153&qH=7b7504afcaf2e1ea
"Apple iPhone 12 Mini (Blue, 128 GB)",4.5 out of 5,475 Ratings & 40 Reviews,"₹74,900",https://www.flipkart.com/apple-iphone-12-mini-blue-128-gb/p/itm9b6cdec9700ee?pid=MOBFWBYZHU58PHCZ&lid=LSTMOBFWBYZHU58PHCZOK9EEO&marketplace=FLIPKART&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=933bf878-9f6c-41c4-a989-651a38b53bdd.MOBFWBYZHU58PHCZ.SEARCH&ssid=cqvpwdvozk0000001612245750153&qH=7b7504afcaf2e1ea
"Apple iPhone 12 Mini (White, 64 GB)",4.5 out of 5,475 Ratings & 40 Reviews,"₹69,900",https://www.flipkart.com/apple-iphone-12-mini-white-64-gb/p/itmf3b16d1640898?pid=MOBFWBYZBH4CEC4C&lid=LSTMOBFWBYZBH4CEC4CXRBIBP&marketplace=FLIPKART&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=933bf878-9f6c-41c4-a989-651a38b53bdd.MOBFWBYZBH4CEC4C.SEARCH&ssid=cqvpwdvozk0000001612245750153&qH=7b7504afcaf2e1ea
"Apple iPhone 12 Mini (Black, 128 GB)",4.5 out of 5,475 Ratings & 40 Reviews,"₹74,900",https://www.flipkart.com/apple-iphone-12-mini-black-128-gb/p/itm0eb512c195bdf?pid=MOBFWBYZH2AMPNPD&lid=LSTMOBFWBYZH2AMPNPDBASLBZ&marketplace=FLIPKART&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=933bf878-9f6c-41c4-a989-651a38b53bdd.MOBFWBYZH2AMPNPD.SEARCH&ssid=cqvpwdvozk0000001612245750153&qH=7b7504afcaf2e1ea
"Apple iPhone 12 Mini (Black, 64 GB)",4.5 out of 5,475 Ratings & 40 Reviews,"₹69,900",https://www.flipkart.com/apple-iphone-12-mini-black-64-gb/p/itm38b727191eb08?pid=MOBFWBYZXSEGBS6F&lid=LSTMOBFWBYZXSEGBS6F4NXXZW&marketplace=FLIPKART&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=933bf878-9f6c-41c4-a989-651a38b53bdd.MOBFWBYZXSEGBS6F.SEARCH&ssid=cqvpwdvozk0000001612245750153&qH=7b7504afcaf2e1ea
"Apple iPhone 12 Pro Max (Graphite, 128 GB)",4.7 out of 5,443 Ratings & 36 Reviews,"₹1,29,900",https://www.flipkart.com/apple-iphone-12-pro-max-graphite-128-gb/p/itm973c298184f51?pid=MOBFWBYZFDGQSDWS&lid=LSTMOBFWBYZFDGQSDWSWMBEA6&marketplace=FLIPKART&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=933bf878-9f6c-41c4-a989-651a38b53bdd.MOBFWBYZFDGQSDWS.SEARCH&ssid=cqvpwdvozk0000001612245750153&qH=7b7504afcaf2e1ea
"Apple iPhone 12 Pro Max (Pacific Blue, 128 GB)",4.7 out of 5,443 Ratings & 36 Reviews,"₹1,29,900",https://www.flipkart.com/apple-iphone-12-pro-max-pacific-blue-128-gb/p/itmd89812b558a03?pid=MOBFWBYZZABKHZQA&lid=LSTMOBFWBYZZABKHZQACQ9MLL&marketplace=FLIPKART&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=933bf878-9f6c-41c4-a989-651a38b53bdd.MOBFWBYZZABKHZQA.SEARCH&ssid=cqvpwdvozk0000001612245750153&qH=7b7504afcaf2e1ea
"Apple iPhone 12 Pro Max (Gold, 256 GB)",4.7 out of 5,443 Ratings & 36 Reviews,"₹1,39,900",https://www.flipkart.com/apple-iphone-12-pro-max-gold-256-gb/p/itm1e0354f5bbc8c?pid=MOBFWBYZZPW8JHQF&lid=LSTMOBFWBYZZPW8JHQF9DJLT1&marketplace=FLIPKART&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=933bf878-9f6c-41c4-a989-651a38b53bdd.MOBFWBYZZPW8JHQF.SEARCH&ssid=cqvpwdvozk0000001612245750153&qH=7b7504afcaf2e1ea
"Apple iPhone 12 (Black, 64 GB)",4.7 out of 5,"1,289 Ratings & 116 Reviews","₹79,900",https://www.flipkart.com/apple-iphone-12-black-64-gb/p/itma2559422bf7c7?pid=MOBFWBYZU5FWK2VP&lid=LSTMOBFWBYZU5FWK2VP98XIL4&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=056f2d3a-0868-4643-b88d-8e98be4e968d.MOBFWBYZU5FWK2VP.SEARCH&ssid=vp39uxk6ww0000001612245752034&qH=7b7504afcaf2e1ea
"Apple iPhone 12 (Red, 64 GB)",4.7 out of 5,"1,289 Ratings & 116 Reviews","₹79,900",https://www.flipkart.com/apple-iphone-12-red-64-gb/p/itm3481e4053d500?pid=MOBFWBYZDP6QCQ8F&lid=LSTMOBFWBYZDP6QCQ8FEL9UPN&marketplace=FLIPKART&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=056f2d3a-0868-4643-b88d-8e98be4e968d.MOBFWBYZDP6QCQ8F.SEARCH&ssid=vp39uxk6ww0000001612245752034&qH=7b7504afcaf2e1ea
"Apple iPhone 12 (Red, 128 GB)",4.7 out of 5,"1,289 Ratings & 116 Reviews","₹84,900",https://www.flipkart.com/apple-iphone-12-red-128-gb/p/itma7bd86885ed98?pid=MOBFWBYZUHPFWQRD&lid=LSTMOBFWBYZUHPFWQRD7UBXC2&marketplace=FLIPKART&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=056f2d3a-0868-4643-b88d-8e98be4e968d.MOBFWBYZUHPFWQRD.SEARCH&ssid=vp39uxk6ww0000001612245752034&qH=7b7504afcaf2e1ea
"Apple iPhone 12 (White, 64 GB)",4.7 out of 5,"1,289 Ratings & 116 Reviews","₹79,900",https://www.flipkart.com/apple-iphone-12-white-64-gb/p/itm8b88bdc03cd79?pid=MOBFWBYZTK33MBG9&lid=LSTMOBFWBYZTK33MBG9YC4F9Y&marketplace=FLIPKART&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=056f2d3a-0868-4643-b88d-8e98be4e968d.MOBFWBYZTK33MBG9.SEARCH&ssid=vp39uxk6ww0000001612245752034&qH=7b7504afcaf2e1ea
"Apple iPhone 12 (Blue, 64 GB)",4.7 out of 5,"1,289 Ratings & 116 Reviews","₹79,900",https://www.flipkart.com/apple-iphone-12-blue-64-gb/p/itm5778ad0d0d255?pid=MOBFWBYZ8DNJNY7N&lid=LSTMOBFWBYZ8DNJNY7NOXBUPN&marketplace=FLIPKART&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=056f2d3a-0868-4643-b88d-8e98be4e968d.MOBFWBYZ8DNJNY7N.SEARCH&ssid=vp39uxk6ww0000001612245752034&qH=7b7504afcaf2e1ea
"Apple iPhone 12 (Green, 128 GB)",4.7 out of 5,"1,289 Ratings & 116 Reviews","₹84,900",https://www.flipkart.com/apple-iphone-12-green-128-gb/p/itm4e0a120f7d9c4?pid=MOBFWBYZQXUEHF48&lid=LSTMOBFWBYZQXUEHF487CPMKU&marketplace=FLIPKART&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=056f2d3a-0868-4643-b88d-8e98be4e968d.MOBFWBYZQXUEHF48.SEARCH&ssid=vp39uxk6ww0000001612245752034&qH=7b7504afcaf2e1ea
"Apple iPhone 12 (Green, 64 GB)",4.7 out of 5,"1,289 Ratings & 116 Reviews","₹79,900",https://www.flipkart.com/apple-iphone-12-green-64-gb/p/itmc8a19a9686173?pid=MOBFWBYZKK3EJPFW&lid=LSTMOBFWBYZKK3EJPFWBJCVXA&marketplace=FLIPKART&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=056f2d3a-0868-4643-b88d-8e98be4e968d.MOBFWBYZKK3EJPFW.SEARCH&ssid=vp39uxk6ww0000001612245752034&qH=7b7504afcaf2e1ea
"Apple iPhone 12 (Blue, 128 GB)",4.7 out of 5,"1,289 Ratings & 116 Reviews","₹84,900",https://www.flipkart.com/apple-iphone-12-blue-128-gb/p/itm02853ae92e90a?pid=MOBFWBYZKPTZF9VG&lid=LSTMOBFWBYZKPTZF9VG6GMIFT&marketplace=FLIPKART&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=056f2d3a-0868-4643-b88d-8e98be4e968d.MOBFWBYZKPTZF9VG.SEARCH&ssid=vp39uxk6ww0000001612245752034&qH=7b7504afcaf2e1ea
"Apple iPhone 12 (Black, 128 GB)",4.7 out of 5,"1,289 Ratings & 116 Reviews","₹84,900",https://www.flipkart.com/apple-iphone-12-black-128-gb/p/itmf1f0a58f1ecd7?pid=MOBFWBYZK3HACR72&lid=LSTMOBFWBYZK3HACR72SELGT5&marketplace=FLIPKART&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=056f2d3a-0868-4643-b88d-8e98be4e968d.MOBFWBYZK3HACR72.SEARCH&ssid=vp39uxk6ww0000001612245752034&qH=7b7504afcaf2e1ea
"Apple iPhone 12 (White, 256 GB)",4.7 out of 5,"1,289 Ratings & 116 Reviews","₹94,900",https://www.flipkart.com/apple-iphone-12-white-256-gb/p/itmcfbcb621e6326?pid=MOBFWBYZMNGZVMJE&lid=LSTMOBFWBYZMNGZVMJEQYPFS1&marketplace=FLIPKART&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=056f2d3a-0868-4643-b88d-8e98be4e968d.MOBFWBYZMNGZVMJE.SEARCH&ssid=vp39uxk6ww0000001612245752034&qH=7b7504afcaf2e1ea
"Apple iPhone 12 (White, 128 GB)",4.7 out of 5,"1,289 Ratings & 116 Reviews","₹84,900",https://www.flipkart.com/apple-iphone-12-white-128-gb/p/itm95393f4c6cc59?pid=MOBFWBYZBTZFGJF9&lid=LSTMOBFWBYZBTZFGJF9K5AZO1&marketplace=FLIPKART&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=056f2d3a-0868-4643-b88d-8e98be4e968d.MOBFWBYZBTZFGJF9.SEARCH&ssid=vp39uxk6ww0000001612245752034&qH=7b7504afcaf2e1ea
"Apple iPhone 12 (Green, 256 GB)",4.7 out of 5,"1,289 Ratings & 116 Reviews","₹94,900",https://www.flipkart.com/apple-iphone-12-green-256-gb/p/itm6d126e7980774?pid=MOBFWBYZZPFJYYEY&lid=LSTMOBFWBYZZPFJYYEYIUA7H8&marketplace=FLIPKART&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=056f2d3a-0868-4643-b88d-8e98be4e968d.MOBFWBYZZPFJYYEY.SEARCH&ssid=vp39uxk6ww0000001612245752034&qH=7b7504afcaf2e1ea
"Apple iPhone XR (Black, 64 GB) (Includes EarPods, Power Adapter)",4.6 out of 5,"71,298 Ratings & 6,100 Reviews","₹43,999₹47,9008% off",https://www.flipkart.com/apple-iphone-xr-black-64-gb-includes-earpods-power-adapter/p/itmf9z7zxu4uqyz2?pid=MOBF9Z7ZPHGV4GNH&lid=LSTMOBF9Z7ZPHGV4GNH9IFADQ&marketplace=FLIPKART&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=056f2d3a-0868-4643-b88d-8e98be4e968d.MOBF9Z7ZPHGV4GNH.SEARCH&ssid=vp39uxk6ww0000001612245752034&qH=7b7504afcaf2e1ea
"Apple iPhone 12 (Blue, 256 GB)",4.7 out of 5,"1,289 Ratings & 116 Reviews","₹94,900",https://www.flipkart.com/apple-iphone-12-blue-256-gb/p/itm3be487cd1dea5?pid=MOBFWBYZKYYZUANT&lid=LSTMOBFWBYZKYYZUANTU9JOHX&marketplace=FLIPKART&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=056f2d3a-0868-4643-b88d-8e98be4e968d.MOBFWBYZKYYZUANT.SEARCH&ssid=vp39uxk6ww0000001612245752034&qH=7b7504afcaf2e1ea
"Apple iPhone 12 (Black, 256 GB)",4.7 out of 5,"1,289 Ratings & 116 Reviews","₹94,900",https://www.flipkart.com/apple-iphone-12-black-256-gb/p/itm68421fa1c1121?pid=MOBFWBYZ7CR9FRHZ&lid=LSTMOBFWBYZ7CR9FRHZFXKLTD&marketplace=FLIPKART&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=056f2d3a-0868-4643-b88d-8e98be4e968d.MOBFWBYZ7CR9FRHZ.SEARCH&ssid=vp39uxk6ww0000001612245752034&qH=7b7504afcaf2e1ea
"Apple iPhone 12 (Red, 256 GB)",4.7 out of 5,"1,289 Ratings & 116 Reviews","₹94,900",https://www.flipkart.com/apple-iphone-12-red-256-gb/p/itm16f42310fe29a?pid=MOBFWBYZEBH6SAFP&lid=LSTMOBFWBYZEBH6SAFPS13XFR&marketplace=FLIPKART&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=056f2d3a-0868-4643-b88d-8e98be4e968d.MOBFWBYZEBH6SAFP.SEARCH&ssid=vp39uxk6ww0000001612245752034&qH=7b7504afcaf2e1ea
"Apple iPhone 12 Mini (Blue, 64 GB)",4.5 out of 5,475 Ratings & 40 Reviews,"₹69,900",https://www.flipkart.com/apple-iphone-12-mini-blue-64-gb/p/itm2883104474448?pid=MOBFWBYZC6UYGR2R&lid=LSTMOBFWBYZC6UYGR2RMNRM7G&marketplace=FLIPKART&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=056f2d3a-0868-4643-b88d-8e98be4e968d.MOBFWBYZC6UYGR2R.SEARCH&ssid=vp39uxk6ww0000001612245752034&qH=7b7504afcaf2e1ea
"Apple iPhone 12 Mini (Blue, 128 GB)",4.5 out of 5,475 Ratings & 40 Reviews,"₹74,900",https://www.flipkart.com/apple-iphone-12-mini-blue-128-gb/p/itm9b6cdec9700ee?pid=MOBFWBYZHU58PHCZ&lid=LSTMOBFWBYZHU58PHCZOK9EEO&marketplace=FLIPKART&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=056f2d3a-0868-4643-b88d-8e98be4e968d.MOBFWBYZHU58PHCZ.SEARCH&ssid=vp39uxk6ww0000001612245752034&qH=7b7504afcaf2e1ea
"Apple iPhone 12 Mini (White, 64 GB)",4.5 out of 5,475 Ratings & 40 Reviews,"₹69,900",https://www.flipkart.com/apple-iphone-12-mini-white-64-gb/p/itmf3b16d1640898?pid=MOBFWBYZBH4CEC4C&lid=LSTMOBFWBYZBH4CEC4CXRBIBP&marketplace=FLIPKART&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=056f2d3a-0868-4643-b88d-8e98be4e968d.MOBFWBYZBH4CEC4C.SEARCH&ssid=vp39uxk6ww0000001612245752034&qH=7b7504afcaf2e1ea
"Apple iPhone 12 Mini (Black, 128 GB)",4.5 out of 5,475 Ratings & 40 Reviews,"₹74,900",https://www.flipkart.com/apple-iphone-12-mini-black-128-gb/p/itm0eb512c195bdf?pid=MOBFWBYZH2AMPNPD&lid=LSTMOBFWBYZH2AMPNPDBASLBZ&marketplace=FLIPKART&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=056f2d3a-0868-4643-b88d-8e98be4e968d.MOBFWBYZH2AMPNPD.SEARCH&ssid=vp39uxk6ww0000001612245752034&qH=7b7504afcaf2e1ea
"Apple iPhone 12 Mini (Black, 64 GB)",4.5 out of 5,475 Ratings & 40 Reviews,"₹69,900",https://www.flipkart.com/apple-iphone-12-mini-black-64-gb/p/itm38b727191eb08?pid=MOBFWBYZXSEGBS6F&lid=LSTMOBFWBYZXSEGBS6F4NXXZW&marketplace=FLIPKART&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=056f2d3a-0868-4643-b88d-8e98be4e968d.MOBFWBYZXSEGBS6F.SEARCH&ssid=vp39uxk6ww0000001612245752034&qH=7b7504afcaf2e1ea
"Apple iPhone 12 Pro Max (Graphite, 128 GB)",4.7 out of 5,443 Ratings & 36 Reviews,"₹1,29,900",https://www.flipkart.com/apple-iphone-12-pro-max-graphite-128-gb/p/itm973c298184f51?pid=MOBFWBYZFDGQSDWS&lid=LSTMOBFWBYZFDGQSDWSWMBEA6&marketplace=FLIPKART&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=056f2d3a-0868-4643-b88d-8e98be4e968d.MOBFWBYZFDGQSDWS.SEARCH&ssid=vp39uxk6ww0000001612245752034&qH=7b7504afcaf2e1ea
"Apple iPhone 12 Pro Max (Pacific Blue, 128 GB)",4.7 out of 5,443 Ratings & 36 Reviews,"₹1,29,900",https://www.flipkart.com/apple-iphone-12-pro-max-pacific-blue-128-gb/p/itmd89812b558a03?pid=MOBFWBYZZABKHZQA&lid=LSTMOBFWBYZZABKHZQACQ9MLL&marketplace=FLIPKART&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=056f2d3a-0868-4643-b88d-8e98be4e968d.MOBFWBYZZABKHZQA.SEARCH&ssid=vp39uxk6ww0000001612245752034&qH=7b7504afcaf2e1ea
