Product title,Product priceProduct rating,Reviews count,Buy link
"Redmi Note 9 Pro (Interstellar Black, 64 GB)","₹13,499",4.4 out of 5,"14,233 Ratings & 1,025 Reviews",https://www.flipkart.com/redmi-note-9-pro-interstellar-black-64-gb/p/itma84d60532d415?pid=MOBFPZXUJHMYCBFK&lid=LSTMOBFPZXUJHMYCBFKPL3KL8&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=1c2fd8ca-db36-49f5-951d-0925344ad019.MOBFPZXUJHMYCBFK.SEARCH&ssid=d8iealeqog0000001612368369781&qH=37347601431fd8b4
"Redmi Note 9 Pro (Interstellar Black, 128 GB)","₹17,049",4.3 out of 5,"1,049 Ratings & 65 Reviews",https://www.flipkart.com/redmi-note-9-pro-interstellar-black-128-gb/p/itma84d60532d415?pid=MOBFPZXUT5FX9GUH&lid=LSTMOBFPZXUT5FX9GUHBV7YRQ&marketplace=FLIPKART&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=1c2fd8ca-db36-49f5-951d-0925344ad019.MOBFPZXUT5FX9GUH.SEARCH&ssid=d8iealeqog0000001612368369781&qH=37347601431fd8b4
"Redmi Note 9 Pro (Aurora Blue, 128 GB)","₹14,781",4.4 out of 5,"14,233 Ratings & 1,025 Reviews",https://www.flipkart.com/redmi-note-9-pro-aurora-blue-128-gb/p/itma84d60532d415?pid=MOBFUUN6B5XSFYXT&lid=LSTMOBFUUN6B5XSFYXTBNVX5C&marketplace=FLIPKART&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=1c2fd8ca-db36-49f5-951d-0925344ad019.MOBFUUN6B5XSFYXT.SEARCH&ssid=d8iealeqog0000001612368369781&qH=37347601431fd8b4
"Redmi Note 9 Pro Max (Glacier White, 128 GB)","₹18,743",4.4 out of 5,"5,388 Ratings & 445 Reviews",https://www.flipkart.com/redmi-note-9-pro-max-glacier-white-128-gb/p/itm1f4b8a12f5710?pid=MOBFRWZNDTQSCQCB&lid=LSTMOBFRWZNDTQSCQCBMKKHMS&marketplace=FLIPKART&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=1c2fd8ca-db36-49f5-951d-0925344ad019.MOBFRWZNDTQSCQCB.SEARCH&ssid=d8iealeqog0000001612368369781&qH=37347601431fd8b4
"Redmi Note 9 (Aqua Green, 64 GB)","₹12,194",4.3 out of 5,"15,217 Ratings & 1,127 Reviews",https://www.flipkart.com/redmi-note-9-aqua-green-64-gb/p/itm12201c2ee63e5?pid=MOBFU3ZFAB7VQJHY&lid=LSTMOBFU3ZFAB7VQJHYOLTVIU&marketplace=FLIPKART&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=1c2fd8ca-db36-49f5-951d-0925344ad019.MOBFU3ZFAB7VQJHY.SEARCH&ssid=d8iealeqog0000001612368369781&qH=37347601431fd8b4
"Redmi Note 9 (Arctic White, 128 GB)","₹15,199",4.3 out of 5,"2,188 Ratings & 146 Reviews",https://www.flipkart.com/redmi-note-9-arctic-white-128-gb/p/itme9d4da670b8ba?pid=MOBFU3ZFPDTEAHHZ&lid=LSTMOBFU3ZFPDTEAHHZ3WZXNR&marketplace=FLIPKART&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=1c2fd8ca-db36-49f5-951d-0925344ad019.MOBFU3ZFPDTEAHHZ.SEARCH&ssid=d8iealeqog0000001612368369781&qH=37347601431fd8b4
"Redmi Note 9 (Pebble Grey, 128 GB)","₹13,565",4.3 out of 5,"15,217 Ratings & 1,127 Reviews",https://www.flipkart.com/redmi-note-9-pebble-grey-128-gb/p/itm12201c2ee63e5?pid=MOBFU3ZFTEA5EWEV&lid=LSTMOBFU3ZFTEA5EWEVGKCG5W&marketplace=FLIPKART&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=1c2fd8ca-db36-49f5-951d-0925344ad019.MOBFU3ZFTEA5EWEV.SEARCH&ssid=d8iealeqog0000001612368369781&qH=37347601431fd8b4
"Redmi Note 9 (Pebble Grey, 64 GB)","₹12,618",4.3 out of 5,"15,217 Ratings & 1,127 Reviews",https://www.flipkart.com/redmi-note-9-pebble-grey-64-gb/p/itm12201c2ee63e5?pid=MOBFU3ZFQ3GAGANG&lid=LSTMOBFU3ZFQ3GAGANGMKROVO&marketplace=FLIPKART&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=1c2fd8ca-db36-49f5-951d-0925344ad019.MOBFU3ZFQ3GAGANG.SEARCH&ssid=d8iealeqog0000001612368369781&qH=37347601431fd8b4
"Redmi Note 9 Pro (Glacier White, 128 GB)","₹14,560",4.4 out of 5,"14,233 Ratings & 1,025 Reviews",https://www.flipkart.com/redmi-note-9-pro-glacier-white-128-gb/p/itma84d60532d415?pid=MOBFUSGFZDDJHWMG&lid=LSTMOBFUSGFZDDJHWMGRB7BWU&marketplace=FLIPKART&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=1c2fd8ca-db36-49f5-951d-0925344ad019.MOBFUSGFZDDJHWMG.SEARCH&ssid=d8iealeqog0000001612368369781&qH=37347601431fd8b4
"Redmi Note 9 (Arctic White, 64 GB)","₹12,726",4.3 out of 5,"15,217 Ratings & 1,127 Reviews",https://www.flipkart.com/redmi-note-9-arctic-white-64-gb/p/itm12201c2ee63e5?pid=MOBFU3ZFXMWJCSHP&lid=LSTMOBFU3ZFXMWJCSHPKMKXWJ&marketplace=FLIPKART&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=1c2fd8ca-db36-49f5-951d-0925344ad019.MOBFU3ZFXMWJCSHP.SEARCH&ssid=d8iealeqog0000001612368369781&qH=37347601431fd8b4
"Redmi Note 9 Pro (Interstellar Black, 128 GB)","₹14,619",4.4 out of 5,"14,233 Ratings & 1,025 Reviews",https://www.flipkart.com/redmi-note-9-pro-interstellar-black-128-gb/p/itm0418537d115ba?pid=MOBFUZYNSYP64TQK&lid=LSTMOBFUZYNSYP64TQKMVUQHF&marketplace=FLIPKART&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=1c2fd8ca-db36-49f5-951d-0925344ad019.MOBFUZYNSYP64TQK.SEARCH&ssid=d8iealeqog0000001612368369781&qH=37347601431fd8b4
"Redmi Note 9 Pro (Aurora Blue, 128 GB)","₹18,179",4.3 out of 5,"1,049 Ratings & 65 Reviews",https://www.flipkart.com/redmi-note-9-pro-aurora-blue-128-gb/p/itma84d60532d415?pid=MOBFPZXUYDHUHNNN&lid=LSTMOBFPZXUYDHUHNNNX1CXVJ&marketplace=FLIPKART&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=1c2fd8ca-db36-49f5-951d-0925344ad019.MOBFPZXUYDHUHNNN.SEARCH&ssid=d8iealeqog0000001612368369781&qH=37347601431fd8b4
"Redmi 9 Prime (Matte Black, 64 GB)","₹9,999",4.4 out of 5,"35,781 Ratings & 2,185 Reviews",https://www.flipkart.com/redmi-9-prime-matte-black-64-gb/p/itmbaf295a5663c2?pid=MOBFUSCC57HCZGKG&lid=LSTMOBFUSCC57HCZGKGQ6TSNL&marketplace=FLIPKART&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=1c2fd8ca-db36-49f5-951d-0925344ad019.MOBFUSCC57HCZGKG.SEARCH&ssid=d8iealeqog0000001612368369781&qH=37347601431fd8b4
"Redmi Note 9 Pro (Aurora Blue, 64 GB)","₹13,565",4.4 out of 5,"14,233 Ratings & 1,025 Reviews",https://www.flipkart.com/redmi-note-9-pro-aurora-blue-64-gb/p/itma84d60532d415?pid=MOBFPZXUDUPUKZF6&lid=LSTMOBFPZXUDUPUKZF6XDRLJE&marketplace=FLIPKART&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=1c2fd8ca-db36-49f5-951d-0925344ad019.MOBFPZXUDUPUKZF6.SEARCH&ssid=d8iealeqog0000001612368369781&qH=37347601431fd8b4
"Redmi Note 9 Pro Max (Aurora Blue, 128 GB)","₹18,932",4.4 out of 5,"5,388 Ratings & 445 Reviews",https://www.flipkart.com/redmi-note-9-pro-max-aurora-blue-128-gb/p/itm6306e1d4476e3?pid=MOBFU84TNRP5YDMX&lid=LSTMOBFU84TNRP5YDMX3X5CLM&marketplace=FLIPKART&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=1c2fd8ca-db36-49f5-951d-0925344ad019.MOBFU84TNRP5YDMX.SEARCH&ssid=d8iealeqog0000001612368369781&qH=37347601431fd8b4
"Redmi Note 9 Pro (Glacier White, 128 GB)","₹18,299",4.3 out of 5,"1,049 Ratings & 65 Reviews",https://www.flipkart.com/redmi-note-9-pro-glacier-white-128-gb/p/itm7651b521a521f?pid=MOBFTGMCRZV8A6EK&lid=LSTMOBFTGMCRZV8A6EKB9YSOX&marketplace=FLIPKART&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=1c2fd8ca-db36-49f5-951d-0925344ad019.MOBFTGMCRZV8A6EK.SEARCH&ssid=d8iealeqog0000001612368369781&qH=37347601431fd8b4
"Redmi Note 9 (Arctic White, 128 GB)","₹13,669",4.3 out of 5,"15,217 Ratings & 1,127 Reviews",https://www.flipkart.com/redmi-note-9-arctic-white-128-gb/p/itm12201c2ee63e5?pid=MOBFU3ZFB27C2VTH&lid=LSTMOBFU3ZFB27C2VTHWU3GQX&marketplace=FLIPKART&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=1c2fd8ca-db36-49f5-951d-0925344ad019.MOBFU3ZFB27C2VTH.SEARCH&ssid=d8iealeqog0000001612368369781&qH=37347601431fd8b4
"Redmi Note 9 Pro (Champagne Gold, 128 GB)","₹17,449",4.3 out of 5,"1,049 Ratings & 65 Reviews",https://www.flipkart.com/redmi-note-9-pro-champagne-gold-128-gb/p/itm812ce2c5ee97d?pid=MOBFVN5JQRXMWYSZ&lid=LSTMOBFVN5JQRXMWYSZUCRY6V&marketplace=FLIPKART&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=1c2fd8ca-db36-49f5-951d-0925344ad019.MOBFVN5JQRXMWYSZ.SEARCH&ssid=d8iealeqog0000001612368369781&qH=37347601431fd8b4
"Redmi Note 9 Pro (Glacier White, 64 GB)","₹13,604",4.4 out of 5,"14,233 Ratings & 1,025 Reviews",https://www.flipkart.com/redmi-note-9-pro-glacier-white-64-gb/p/itma84d60532d415?pid=MOBFPZXU9QDDSKNU&lid=LSTMOBFPZXU9QDDSKNU9DUKVG&marketplace=FLIPKART&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=1c2fd8ca-db36-49f5-951d-0925344ad019.MOBFPZXU9QDDSKNU.SEARCH&ssid=d8iealeqog0000001612368369781&qH=37347601431fd8b4
"Redmi Note 9 Pro (Champagne Gold, 64 GB)","₹13,697",4.4 out of 5,"14,233 Ratings & 1,025 Reviews",https://www.flipkart.com/redmi-note-9-pro-champagne-gold-64-gb/p/itma84d60532d415?pid=MOBFVSQPKVB8QQJ6&lid=LSTMOBFVSQPKVB8QQJ6PGY9KF&marketplace=FLIPKART&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=1c2fd8ca-db36-49f5-951d-0925344ad019.MOBFVSQPKVB8QQJ6.SEARCH&ssid=d8iealeqog0000001612368369781&qH=37347601431fd8b4
"Redmi Note 9 Pro Max (Interstellar Black, 128 GB)","₹18,323",4.4 out of 5,"5,388 Ratings & 445 Reviews",https://www.flipkart.com/redmi-note-9-pro-max-interstellar-black-128-gb/p/itmb47f59cf8b7c3?pid=MOBFRWZN9WHWZKZJ&lid=LSTMOBFRWZN9WHWZKZJMEYX92&marketplace=FLIPKART&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=1c2fd8ca-db36-49f5-951d-0925344ad019.MOBFRWZN9WHWZKZJ.SEARCH&ssid=d8iealeqog0000001612368369781&qH=37347601431fd8b4
"Redmi Note 9 (Aqua Green, 128 GB)","₹13,439",4.3 out of 5,"15,217 Ratings & 1,127 Reviews",https://www.flipkart.com/redmi-note-9-aqua-green-128-gb/p/itm12201c2ee63e5?pid=MOBFU3ZFY6FGK4ZU&lid=LSTMOBFU3ZFY6FGK4ZUUAJ3XN&marketplace=FLIPKART&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=1c2fd8ca-db36-49f5-951d-0925344ad019.MOBFU3ZFY6FGK4ZU.SEARCH&ssid=d8iealeqog0000001612368369781&qH=37347601431fd8b4
"Redmi Note 9 (Aqua Green, 128 GB)","₹15,199",4.3 out of 5,"2,188 Ratings & 146 Reviews",https://www.flipkart.com/redmi-note-9-aqua-green-128-gb/p/itme9d4da670b8ba?pid=MOBFU3ZFTPK4B8N3&lid=LSTMOBFU3ZFTPK4B8N3GPUISF&marketplace=FLIPKART&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=1c2fd8ca-db36-49f5-951d-0925344ad019.MOBFU3ZFTPK4B8N3.SEARCH&ssid=d8iealeqog0000001612368369781&qH=37347601431fd8b4
"Redmi Note 9 Pro (Champagne Gold, 128 GB)","₹14,425",4.4 out of 5,"14,233 Ratings & 1,025 Reviews",https://www.flipkart.com/redmi-note-9-pro-champagne-gold-128-gb/p/itma84d60532d415?pid=MOBFVNYYZZ6AJT44&lid=LSTMOBFVNYYZZ6AJT44HSHR2N&marketplace=FLIPKART&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=1c2fd8ca-db36-49f5-951d-0925344ad019.MOBFVNYYZZ6AJT44.SEARCH&ssid=d8iealeqog0000001612368369781&qH=37347601431fd8b4
"Redmi Note 9 Pro (Interstellar Black, 64 GB)","₹13,450",4.4 out of 5,"14,145 Ratings & 1,013 Reviews",https://www.flipkart.com/redmi-note-9-pro-interstellar-black-64-gb/p/itma84d60532d415?pid=MOBFPZXUJHMYCBFK&lid=LSTMOBFPZXUJHMYCBFKOS2HOD&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=e2fe6d37-f6cd-40bf-98e0-21ba12e98249.MOBFPZXUJHMYCBFK.SEARCH&ssid=mlbxjfw7g00000001612368371714&qH=37347601431fd8b4
"Redmi Note 9 Pro (Interstellar Black, 128 GB)","₹17,049",4.3 out of 5,"1,046 Ratings & 65 Reviews",https://www.flipkart.com/redmi-note-9-pro-interstellar-black-128-gb/p/itma84d60532d415?pid=MOBFPZXUT5FX9GUH&lid=LSTMOBFPZXUT5FX9GUHBV7YRQ&marketplace=FLIPKART&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=e2fe6d37-f6cd-40bf-98e0-21ba12e98249.MOBFPZXUT5FX9GUH.SEARCH&ssid=mlbxjfw7g00000001612368371714&qH=37347601431fd8b4
"Redmi Note 9 Pro (Aurora Blue, 64 GB)","₹13,833",4.4 out of 5,"14,145 Ratings & 1,013 Reviews",https://www.flipkart.com/redmi-note-9-pro-aurora-blue-64-gb/p/itma84d60532d415?pid=MOBFPZXUDUPUKZF6&lid=LSTMOBFPZXUDUPUKZF6YA8Q1S&marketplace=FLIPKART&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=e2fe6d37-f6cd-40bf-98e0-21ba12e98249.MOBFPZXUDUPUKZF6.SEARCH&ssid=mlbxjfw7g00000001612368371714&qH=37347601431fd8b4
"Redmi Note 9 Pro (Glacier White, 128 GB)","₹14,560",4.4 out of 5,"14,145 Ratings & 1,013 Reviews",https://www.flipkart.com/redmi-note-9-pro-glacier-white-128-gb/p/itma84d60532d415?pid=MOBFUSGFZDDJHWMG&lid=LSTMOBFUSGFZDDJHWMGRB7BWU&marketplace=FLIPKART&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=e2fe6d37-f6cd-40bf-98e0-21ba12e98249.MOBFUSGFZDDJHWMG.SEARCH&ssid=mlbxjfw7g00000001612368371714&qH=37347601431fd8b4
"Redmi Note 9 Pro (Aurora Blue, 128 GB)","₹14,477",4.4 out of 5,"14,145 Ratings & 1,013 Reviews",https://www.flipkart.com/redmi-note-9-pro-aurora-blue-128-gb/p/itma84d60532d415?pid=MOBFUUN6B5XSFYXT&lid=LSTMOBFUUN6B5XSFYXTTKQHHV&marketplace=FLIPKART&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=e2fe6d37-f6cd-40bf-98e0-21ba12e98249.MOBFUUN6B5XSFYXT.SEARCH&ssid=mlbxjfw7g00000001612368371714&qH=37347601431fd8b4
"Redmi Note 9 Pro (Champagne Gold, 128 GB)","₹14,425",4.4 out of 5,"14,145 Ratings & 1,013 Reviews",https://www.flipkart.com/redmi-note-9-pro-champagne-gold-128-gb/p/itma84d60532d415?pid=MOBFVNYYZZ6AJT44&lid=LSTMOBFVNYYZZ6AJT44HSHR2N&marketplace=FLIPKART&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=e2fe6d37-f6cd-40bf-98e0-21ba12e98249.MOBFVNYYZZ6AJT44.SEARCH&ssid=mlbxjfw7g00000001612368371714&qH=37347601431fd8b4
"Redmi Note 9 Pro Max (Glacier White, 128 GB)","₹15,540",4.4 out of 5,"5,330 Ratings & 439 Reviews",https://www.flipkart.com/redmi-note-9-pro-max-glacier-white-128-gb/p/itm1f4b8a12f5710?pid=MOBFRWZNDTQSCQCB&lid=LSTMOBFRWZNDTQSCQCBENYBHL&marketplace=FLIPKART&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=e2fe6d37-f6cd-40bf-98e0-21ba12e98249.MOBFRWZNDTQSCQCB.SEARCH&ssid=mlbxjfw7g00000001612368371714&qH=37347601431fd8b4
"Redmi Note 9 (Arctic White, 64 GB)","₹12,726",4.3 out of 5,"15,197 Ratings & 1,127 Reviews",https://www.flipkart.com/redmi-note-9-arctic-white-64-gb/p/itm12201c2ee63e5?pid=MOBFU3ZFXMWJCSHP&lid=LSTMOBFU3ZFXMWJCSHPKMKXWJ&marketplace=FLIPKART&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=e2fe6d37-f6cd-40bf-98e0-21ba12e98249.MOBFU3ZFXMWJCSHP.SEARCH&ssid=mlbxjfw7g00000001612368371714&qH=37347601431fd8b4
"Redmi Note 9 (Aqua Green, 128 GB)","₹14,809",4.3 out of 5,"2,172 Ratings & 146 Reviews",https://www.flipkart.com/redmi-note-9-aqua-green-128-gb/p/itme9d4da670b8ba?pid=MOBFU3ZFTPK4B8N3&lid=LSTMOBFU3ZFTPK4B8N3YTS7KE&marketplace=FLIPKART&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=e2fe6d37-f6cd-40bf-98e0-21ba12e98249.MOBFU3ZFTPK4B8N3.SEARCH&ssid=mlbxjfw7g00000001612368371714&qH=37347601431fd8b4
"Redmi Note 9 (Pebble Grey, 64 GB)","₹12,618",4.3 out of 5,"15,197 Ratings & 1,127 Reviews",https://www.flipkart.com/redmi-note-9-pebble-grey-64-gb/p/itm12201c2ee63e5?pid=MOBFU3ZFQ3GAGANG&lid=LSTMOBFU3ZFQ3GAGANGMKROVO&marketplace=FLIPKART&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=e2fe6d37-f6cd-40bf-98e0-21ba12e98249.MOBFU3ZFQ3GAGANG.SEARCH&ssid=mlbxjfw7g00000001612368371714&qH=37347601431fd8b4
"Redmi Note 9 Pro (Aurora Blue, 128 GB)","₹18,179",4.3 out of 5,"1,046 Ratings & 65 Reviews",https://www.flipkart.com/redmi-note-9-pro-aurora-blue-128-gb/p/itma84d60532d415?pid=MOBFPZXUYDHUHNNN&lid=LSTMOBFPZXUYDHUHNNNX1CXVJ&marketplace=FLIPKART&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=e2fe6d37-f6cd-40bf-98e0-21ba12e98249.MOBFPZXUYDHUHNNN.SEARCH&ssid=mlbxjfw7g00000001612368371714&qH=37347601431fd8b4
"Redmi Note 9 Pro (Interstellar Black, 128 GB)","₹14,619",4.4 out of 5,"14,145 Ratings & 1,013 Reviews",https://www.flipkart.com/redmi-note-9-pro-interstellar-black-128-gb/p/itm0418537d115ba?pid=MOBFUZYNSYP64TQK&lid=LSTMOBFUZYNSYP64TQKMVUQHF&marketplace=FLIPKART&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=e2fe6d37-f6cd-40bf-98e0-21ba12e98249.MOBFUZYNSYP64TQK.SEARCH&ssid=mlbxjfw7g00000001612368371714&qH=37347601431fd8b4
"Redmi 9 Prime (Matte Black, 64 GB)","₹9,999",4.4 out of 5,"35,042 Ratings & 2,122 Reviews",https://www.flipkart.com/redmi-9-prime-matte-black-64-gb/p/itmbaf295a5663c2?pid=MOBFUSCC57HCZGKG&lid=LSTMOBFUSCC57HCZGKGQ6TSNL&marketplace=FLIPKART&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=e2fe6d37-f6cd-40bf-98e0-21ba12e98249.MOBFUSCC57HCZGKG.SEARCH&ssid=mlbxjfw7g00000001612368371714&qH=37347601431fd8b4
"Redmi Note 9 Pro Max (Aurora Blue, 128 GB)","₹18,932",4.4 out of 5,"5,330 Ratings & 439 Reviews",https://www.flipkart.com/redmi-note-9-pro-max-aurora-blue-128-gb/p/itm6306e1d4476e3?pid=MOBFU84TNRP5YDMX&lid=LSTMOBFU84TNRP5YDMX3X5CLM&marketplace=FLIPKART&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=e2fe6d37-f6cd-40bf-98e0-21ba12e98249.MOBFU84TNRP5YDMX.SEARCH&ssid=mlbxjfw7g00000001612368371714&qH=37347601431fd8b4
"Redmi Note 9 (Aqua Green, 64 GB)","₹12,750",4.3 out of 5,"15,197 Ratings & 1,127 Reviews",https://www.flipkart.com/redmi-note-9-aqua-green-64-gb/p/itm12201c2ee63e5?pid=MOBFU3ZFAB7VQJHY&lid=LSTMOBFU3ZFAB7VQJHY33BOSI&marketplace=FLIPKART&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=e2fe6d37-f6cd-40bf-98e0-21ba12e98249.MOBFU3ZFAB7VQJHY.SEARCH&ssid=mlbxjfw7g00000001612368371714&qH=37347601431fd8b4
