Title,Price,Rating,Reviews,Delivery date,Delivery type,Product link
Java For Dummies,₹459,4.3 out of 5 stars,by ,"Tuesday, February 9",Delivery type not available,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02290021G80Y0P2AZ25Z&url=%2FJava-Dummies-Barry-Burd%2Fdp%2F8126568143%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Djava%2Bfor%2Bdummies%26qid%3D1612356852%26sr%3D8-1-spons%26psc%3D1&qualifier=1612356852&id=2775270919933136&widgetName=sp_atf
Java All-in-One for Dummies,₹699,4.5 out of 5 stars,by ,"Friday, February 5",FREE Delivery by Amazon,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02291583OCN99E2O5SF1&url=%2FJava-All-One-Dummies-Doug%2Fdp%2F8126569158%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Djava%2Bfor%2Bdummies%26qid%3D1612356852%26sr%3D8-2-spons%26psc%3D1&qualifier=1612356852&id=2775270919933136&widgetName=sp_atf
Java For Dummies,₹459,4.3 out of 5 stars,by ,"Tuesday, February 9",Delivery type not available,https://www.amazon.in//Java-Dummies-Barry-Burd/dp/8126568143/ref=sr_1_3?dchild=1&keywords=java+for+dummies&qid=1612356852&sr=8-3
Java All-in-One for Dummies,₹699,4.5 out of 5 stars,by ,"Friday, February 5",FREE Delivery by Amazon,https://www.amazon.in//Java-All-One-Dummies-Doug/dp/8126569158/ref=sr_1_4?dchild=1&keywords=java+for+dummies&qid=1612356852&sr=8-4
"Beginning Programming with Java for Dummies, 5ed",₹524,4.4 out of 5 stars,by ,"Tuesday, February 9",Delivery type not available,https://www.amazon.in//Beginning-Programming-Java-Dummies-5ed/dp/8126570865/ref=sr_1_5?dchild=1&keywords=java+for+dummies&qid=1612356852&sr=8-5
Java Programming for Android Developers for Dummies,price not available,4.4 out of 5 stars,by ,delivery date not available,Delivery type not available,https://www.amazon.in//Java-Programming-Android-Developers-Dummies/dp/8126545968/ref=sr_1_6?dchild=1&keywords=java+for+dummies&qid=1612356852&sr=8-6
OCP Java SE 7 Certification All–in–One For Dummies® (For Dummies Series),price not available,rating not available,by ,delivery date not available,Delivery type not available,https://www.amazon.in//Java-Certification-All-Dummies%C2%AE-Dummies/dp/1118385225/ref=sr_1_7?dchild=1&keywords=java+for+dummies&qid=1612356852&sr=8-7
Java and XML For Dummies,price not available,3.7 out of 5 stars,by ,delivery date not available,Delivery type not available,https://www.amazon.in//Java-XML-Dummies-Barry-Burd/dp/0764516582/ref=sr_1_8?dchild=1&keywords=java+for+dummies&qid=1612356852&sr=8-8
Beginning Programming with Java For Dummies (For Dummies (Computers)),₹294.41,4.5 out of 5 stars,by ,"Saturday, February 20",Delivery type not available,https://www.amazon.in//Beginning-Programming-Java-Dummies-Computer-ebook/dp/B073QX4GL7/ref=sr_1_9?dchild=1&keywords=java+for+dummies&qid=1612356852&sr=8-9
Java For Dummies,"₹2,280.90",4.3 out of 5 stars,by ,"Wednesday, February 24",Delivery type not available,https://www.amazon.in//Java-Dummies-Barry-Burd/dp/0470371730/ref=sr_1_10?dchild=1&keywords=java+for+dummies&qid=1612356852&sr=8-10
"Android Application Development All-In-One for Dummies, 2ed",₹599,4.3 out of 5 stars,by ,"Saturday, February 6",FREE Delivery by Amazon,https://www.amazon.in//Android-Application-Development-All-Dummies/dp/812655794X/ref=sr_1_11?dchild=1&keywords=java+for+dummies&qid=1612356852&sr=8-11
Java für Dummies,"₹1,927.80",5.0 out of 5 stars,by ,delivery date not available,Delivery type not available,https://www.amazon.in//Java-f%C3%BCr-Dummies-Barry-Burd/dp/3527713646/ref=sr_1_12?dchild=1&keywords=java+for+dummies&qid=1612356852&sr=8-12
Java: Programming Basics for Absolute Beginners (Step-By-Step Java Book 1),₹0,4.1 out of 5 stars,by ,delivery date not available,Delivery type not available,https://www.amazon.in//Java-Programming-Beginners-Step-Step-ebook/dp/B076926QSX/ref=sr_1_13?dchild=1&keywords=java+for+dummies&qid=1612356852&sr=8-13
Java For Dummies,"₹1,625.87",3.9 out of 5 stars,by ,"Tuesday, March 2",Delivery type not available,https://www.amazon.in//Java-Dummies-Walsh/dp/156884641X/ref=sr_1_14?dchild=1&keywords=java+for+dummies&qid=1612356852&sr=8-14
Java eLearning Kit For Dummies (For Dummies Series),"₹2,104.12",3.2 out of 5 stars,by ,"Wednesday, February 24",Delivery type not available,https://www.amazon.in//Java-eLearning-Kit-Dummies/dp/1118098781/ref=sr_1_15?dchild=1&keywords=java+for+dummies&qid=1612356852&sr=8-15
Beginning Programming with Java For Dummies,"₹3,737.77",4.2 out of 5 stars,by ,"Wednesday, February 24",Delivery type not available,https://www.amazon.in//Beginning-Programming-Java-Dummies-Barry/dp/0470371749/ref=sr_1_16?dchild=1&keywords=java+for+dummies&qid=1612356852&sr=8-16
Java and Android Application Development for Dummies Ebook Set,price not available,4.5 out of 5 stars,by ,delivery date not available,Delivery type not available,https://www.amazon.in//Android-Application-Development-Dummies-Ebook/dp/1118604679/ref=sr_1_17?dchild=1&keywords=java+for+dummies&qid=1612356852&sr=8-17
Java: Advanced Features and Programming Techniques (Step-By-Step Java Book 3),₹0,4.4 out of 5 stars,by ,delivery date not available,Delivery type not available,https://www.amazon.in//Java-Programming-Techniques-Step-Step-ebook/dp/B079R79HT1/ref=sr_1_18?dchild=1&keywords=java+for+dummies&qid=1612356852&sr=8-18
"The LinkedIn Blackbook: An actionable guide to getting clients, launching a successful freelancing journey, and building a standout LinkedIn profile that will give long term results.",₹750,5.0 out of 5 stars,by ,delivery date not available,FREE Delivery by Amazon,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A064956811ZEVBVEMX8PM&url=%2FLinkedIn-Blackbook-actionable-successful-freelancing%2Fdp%2F1636695035%2Fref%3Dsr_1_19_sspa%3Fdchild%3D1%26keywords%3Djava%2Bfor%2Bdummies%26qid%3D1612356852%26sr%3D8-19-spons%26psc%3D1&qualifier=1612356852&id=2775270919933136&widgetName=sp_btf
Think and Grow Rich,₹110,4.5 out of 5 stars,by ,"Friday, February 5",FREE Delivery over ₹499. Fulfilled by Amazon.,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A05620962EFOGSVTA80PM&url=%2FThink-Grow-Rich-Napoleon-Hill%2Fdp%2F8194790883%2Fref%3Dsr_1_20_sspa%3Fdchild%3D1%26keywords%3Djava%2Bfor%2Bdummies%26qid%3D1612356852%26sr%3D8-20-spons%26psc%3D1&qualifier=1612356852&id=2775270919933136&widgetName=sp_btf
Cognitive Fitness: Pain Is Inevitable. How to Alleviate It and Use It to Your Advantage.,₹349,4.5 out of 5 stars,by ,"Saturday, February 6",FREE Delivery over ₹499. Fulfilled by Amazon.,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0567541PZBYHTZFYRSI&url=%2FCognitive-Fitness-Inevitable-Alleviate-Advantage%2Fdp%2F0648565882%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3Djava%2Bfor%2Bdummies%26qid%3D1612356852%26sr%3D8-21-spons%26psc%3D1&qualifier=1612356852&id=2775270919933136&widgetName=sp_btf
